id,name,sex,age,height,weight,team,noc,year,city,sport,event,medal
148277,Martin Himma,M,22,NA,NA,Estonia,EST,2022,Beijing,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,NA
148460,Jack Gower,M,27,NA,NA,Ireland,IRL,2022,Beijing,Alpine Skiing,Alpine Skiing Men's Downhill,NA
148460,Jack Gower,M,27,NA,NA,Ireland,IRL,2022,Beijing,Alpine Skiing,Alpine Skiing Men's Super G,NA
148460,Jack Gower,M,27,NA,NA,Ireland,IRL,2022,Beijing,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
148460,Jack Gower,M,27,NA,NA,Ireland,IRL,2022,Beijing,Alpine Skiing,Alpine Skiing Men's Combined,NA
148018,Jordan Pierre-Gilles,M,23,NA,NA,Canada,CAN,2022,Beijing,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,NA
148018,Jordan Pierre-Gilles,M,23,NA,NA,Canada,CAN,2022,Beijing,Short Track Speed Skating,"Short Track Speed Skating Mixed 2,000 metres Relay",NA
148018,Jordan Pierre-Gilles,M,23,NA,NA,Canada,CAN,2022,Beijing,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",NA
148018,Jordan Pierre-Gilles,M,23,NA,NA,Canada,CAN,2022,Beijing,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
136767,Dzinara Alimbekava,F,22,NA,NA,Belarus,BLR,2018,PyeongChang,Biathlon,Biathlon Women's 15 kilometres,NA
136767,Dzinara Alimbekava,F,22,NA,NA,Belarus,BLR,2018,PyeongChang,Biathlon,Biathlon Women's 4 × 6 kilometres Relay,Gold
136767,Dzinara Alimbekava,F,26,NA,NA,Belarus,BLR,2022,Beijing,Biathlon,Biathlon Women's 7.5 kilometres Sprint,NA
136767,Dzinara Alimbekava,F,26,NA,NA,Belarus,BLR,2022,Beijing,Biathlon,Biathlon Mixed 2 × 6 kilometres and 2 × 7.5 kilometres Relay,NA
136767,Dzinara Alimbekava,F,26,NA,NA,Belarus,BLR,2022,Beijing,Biathlon,Biathlon Women's 10 kilometres Pursuit,NA
136767,Dzinara Alimbekava,F,26,NA,NA,Belarus,BLR,2022,Beijing,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,NA
136767,Dzinara Alimbekava,F,26,NA,NA,Belarus,BLR,2022,Beijing,Biathlon,Biathlon Women's 15 kilometres,NA
136767,Dzinara Alimbekava,F,26,NA,NA,Belarus,BLR,2022,Beijing,Biathlon,Biathlon Women's 4 × 6 kilometres Relay,NA
128006,Ayaka Toko,F,23,161,59,Japan,JPN,2018,PyeongChang,Ice Hockey,Ice Hockey Women's Ice Hockey,NA
128006,Ayaka Toko,F,27,161,59,Japan,JPN,2022,Beijing,Ice Hockey,Ice Hockey Women's Ice Hockey,NA
137315,Dajana Eitberger,F,27,180,78,Germany,GER,2018,PyeongChang,Luge,Luge Women's Singles,Silver
137514,Anna Shevchenko,F,24,166,52,Kazakhstan,KAZ,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Women's Sprint,NA
137514,Anna Shevchenko,F,24,166,52,Kazakhstan,KAZ,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,NA
137514,Anna Shevchenko,F,24,166,52,Kazakhstan,KAZ,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,NA
137514,Anna Shevchenko,F,24,166,52,Kazakhstan,KAZ,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres Skiathlon,NA
137514,Anna Shevchenko,F,24,166,52,Kazakhstan,KAZ,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Women's Team Sprint,NA
149105,Dylan Walczyk,M,28,NA,NA,United States,USA,2022,Beijing,Freestyle Skiing,Freestyle Skiing Men's Moguls,NA
109964,Sophie Rodriguez,F,29,168,57,France,FRA,2018,PyeongChang,Snowboarding,Snowboarding Women's Halfpipe,NA
147853,Harald Lemmerer,M,30,NA,NA,Austria,AUT,2022,Beijing,Biathlon,Biathlon Men's 20 kilometres,NA
147853,Harald Lemmerer,M,30,NA,NA,Austria,AUT,2022,Beijing,Biathlon,Biathlon Men's 4 × 7.5 kilometres Relay,NA
138602,Audrey King,F,19,NA,NA,"Hong Kong, China",HKG,2022,Beijing,Alpine Skiing,Alpine Skiing Women's Slalom,NA
139268,Tormod Frostad,M,19,170,NA,Norway,NOR,2022,Beijing,Freestyle Skiing,Freestyle Skiing Men's Slopestyle,NA
139268,Tormod Frostad,M,19,170,NA,Norway,NOR,2022,Beijing,Freestyle Skiing,Freestyle Skiing Men's Big Air,NA
138346,Ryan Zapolski,M,31,183,92,United States,USA,2018,PyeongChang,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
2300924,Anna Kjellbin,F,27,169,68,Sweden,SWE,2022,Beijing,Ice Hockey,Ice Hockey Women's Ice Hockey,NA
148542,Mei Miura,F,23,NA,NA,Japan,JPN,2022,Beijing,Ice Hockey,Ice Hockey Women's Ice Hockey,NA
149176,Tereza Nová,F,23,NA,NA,Czechia,CZE,2022,Beijing,Alpine Skiing,Alpine Skiing Women's Downhill,NA
149176,Tereza Nová,F,23,NA,NA,Czechia,CZE,2022,Beijing,Alpine Skiing,Alpine Skiing Mixed Team,NA
149176,Tereza Nová,F,23,NA,NA,Czechia,CZE,2022,Beijing,Alpine Skiing,Alpine Skiing Women's Super G,NA
149176,Tereza Nová,F,23,NA,NA,Czechia,CZE,2022,Beijing,Alpine Skiing,Alpine Skiing Women's Combined,NA
118325,Anna Veith,F,28,166,64,Austria,AUT,2018,PyeongChang,Alpine Skiing,Alpine Skiing Women's Super G,Silver
118325,Anna Veith,F,28,166,64,Austria,AUT,2018,PyeongChang,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
148206,Henrik Holtermann,M,24,NA,NA,Denmark,DEN,2022,Beijing,Curling,Curling Men's Curling,NA
138048,Manuela Siegrist,F,27,168,53,Switzerland,SUI,2018,PyeongChang,Curling,Curling Women's Curling,NA
147828,Sophie Ash,F,25,NA,NA,Australia,AUS,2022,Beijing,Freestyle Skiing,Freestyle Skiing Women's Moguls,NA
148735,Katia Kurakova,F,19,NA,NA,Poland,POL,2022,Beijing,Figure Skating,Figure Skating Women's Singles,NA
138176,Erik Mobärg,M,20,175,NA,Sweden,SWE,2018,PyeongChang,Freestyle Skiing,Freestyle Skiing Men's Ski Cross,NA
138176,Erik Mobärg,M,24,175,NA,Sweden,SWE,2022,Beijing,Freestyle Skiing,Freestyle Skiing Men's Ski Cross,NA
2302019,Hannah Halvorsen,F,23,NA,NA,United States,USA,2022,Beijing,Cross Country Skiing,Cross Country Skiing Women's Sprint,NA
137007,Jan Zabystřan,M,20,191,85,Czechia,CZE,2018,PyeongChang,Alpine Skiing,Alpine Skiing Men's Downhill,NA
137007,Jan Zabystřan,M,20,191,85,Czechia,CZE,2018,PyeongChang,Alpine Skiing,Alpine Skiing Mixed Team,NA
137007,Jan Zabystřan,M,20,191,85,Czechia,CZE,2018,PyeongChang,Alpine Skiing,Alpine Skiing Men's Super G,NA
137007,Jan Zabystřan,M,20,191,85,Czechia,CZE,2018,PyeongChang,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
